Creating cluster of 100 nodes
Percentage Leaving 20%
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
655ec4aa6c22        etcd42              2.43%               206MiB / 62.13GiB     0.32%               0B / 0B             0B / 1.04MB         18
65db20d37554        etcd41              2.95%               173.3MiB / 62.13GiB   0.27%               0B / 0B             0B / 1.08MB         17
2ba42e83bad5        etcd40              2.44%               209.3MiB / 62.13GiB   0.33%               0B / 0B             0B / 1.08MB         17
a403d3da9cfd        etcd39              3.09%               279.5MiB / 62.13GiB   0.44%               0B / 0B             0B / 1.03MB         21
71ef39e0901c        etcd38              2.86%               227.3MiB / 62.13GiB   0.36%               0B / 0B             0B / 1.06MB         20
658ae07d8cdc        etcd37              2.91%               166MiB / 62.13GiB     0.26%               0B / 0B             0B / 1.07MB         18
275a64a7b6f9        etcd36              2.15%               175.2MiB / 62.13GiB   0.28%               0B / 0B             0B / 1.06MB         17
721bd7b3caea        etcd35              2.40%               177.9MiB / 62.13GiB   0.28%               0B / 0B             0B / 1.1MB          19
0e891c9c3ae2        etcd34              3.11%               236.7MiB / 62.13GiB   0.37%               0B / 0B             0B / 1.1MB          18
4664c67dcd2e        etcd33              2.81%               190.2MiB / 62.13GiB   0.30%               0B / 0B             0B / 1.06MB         18
3fbbd821326a        etcd32              1.91%               199.4MiB / 62.13GiB   0.31%               0B / 0B             0B / 1.08MB         17
9f7cdd982077        etcd31              1.99%               198.5MiB / 62.13GiB   0.31%               0B / 0B             0B / 1.08MB         19
9ad06bb8761e        etcd30              2.27%               200.3MiB / 62.13GiB   0.31%               0B / 0B             0B / 1.08MB         18
030dcd08e3ec        etcd29              3.39%               215.3MiB / 62.13GiB   0.34%               0B / 0B             0B / 1.1MB          18
c168662d4466        etcd28              3.02%               250.7MiB / 62.13GiB   0.39%               0B / 0B             0B / 1.11MB         18
726c8d8a8294        etcd27              1.85%               221MiB / 62.13GiB     0.35%               0B / 0B             0B / 1.16MB         18
318c6d9e5f1e        etcd26              11.15%              260.8MiB / 62.13GiB   0.41%               0B / 0B             0B / 1.11MB         25
20eb78428f6b        etcd25              1.88%               232.3MiB / 62.13GiB   0.37%               0B / 0B             0B / 1.06MB         17
5e81e98da9fe        etcd24              3.66%               265.6MiB / 62.13GiB   0.42%               0B / 0B             0B / 1.13MB         18
e11a5ab5d333        etcd23              4.15%               285.5MiB / 62.13GiB   0.45%               0B / 0B             0B / 1.14MB         19
1efbbc001d9f        etcd22              2.01%               258.1MiB / 62.13GiB   0.41%               0B / 0B             0B / 1.14MB         18
